Original_File_Name,Date,County,Med_County_Sales,Rec_County_Sales
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Garfield,434235,292839
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Gilpin,42979,116815
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Grand,1,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Gunnison,1,1
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Jefferson,2037535,1435895
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Lake,0,1
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,La Plata,561810,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Larimer,1116171,1
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Mesa,1,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Moffat,1,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Montezuma,120385,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Montrose,1,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Ouray,1,1
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Park,1,1
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Pitkin,95001,185390
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Pueblo,452196,1417017
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Routt,159620,1
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,San Miguel,49679,257276
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Sedgwick,1,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Summit,201566,545898
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Teller,1,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Weld,516873,694205
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Non-Reported,522238,2454480
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Adams,433176,1
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Alamosa,1,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Arapahoe,1425313,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Archuleta,1,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Boulder,2507058,2593735
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Chaffee,96647,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Clear Creek,97965,396938
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Costilla,1,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Denver,13476218,12245778
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Eagle,132878,1
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,El Paso,5342494,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Fremont,228665,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Garfield,418280,392391
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Gilpin,38278,145630
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Grand,1,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Gunnison,1,1
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Jefferson,1889080,1445315
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Lake,0,1
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,La Plata,544589,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Larimer,1112079,1
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Mesa,1,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Moffat,1,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Montezuma,115548,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Montrose,1,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Ouray,1,1
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Park,1,1
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Pitkin,110679,322473
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Pueblo,403341,1571864
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Routt,1,1
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Saguache,1,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,San Miguel,75455,451452
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Sedgwick,1,1
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Summit,203354,686139
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Teller,1,0
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Weld,470633,795293
0614_MarijuanaSalesReport PUBLISH.xlsx,2014-06-30,Non-Reported,828579,2931074
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Adams,452488,1
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Alamosa,1,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Arapahoe,1470823,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Archuleta,1,0
